Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,0.039972,0.042227,0.039571,0.042122,0.042122,207346
2019-01-02,0.042309,0.045855,0.042131,0.042844,0.042844,868339
2019-01-03,0.042887,0.043427,0.040949,0.041366,0.041366,267871
2019-01-04,0.041396,0.042064,0.040237,0.041609,0.041609,247701
2019-01-05,0.041565,0.045539,0.041555,0.043327,0.043327,663487
2019-01-06,0.043118,0.045226,0.042153,0.044521,0.044521,317510
2019-01-07,0.044553,0.048073,0.042557,0.047345,0.047345,983396
2019-01-08,0.047854,0.047854,0.043370,0.043762,0.043762,1531854
2019-01-09,0.043959,0.046811,0.043865,0.044640,0.044640,918813
2019-01-10,0.044638,0.045440,0.038997,0.039251,0.039251,564033
2019-01-11,0.039155,0.041781,0.039128,0.040863,0.040863,298674
2019-01-12,0.040941,0.042896,0.039996,0.040268,0.040268,565116
2019-01-13,0.040077,0.041253,0.038249,0.038527,0.038527,317106
2019-01-14,0.038543,0.041758,0.038506,0.041287,0.041287,344252
2019-01-15,0.041363,0.044794,0.040501,0.041333,0.041333,1481439
2019-01-16,0.041269,0.050413,0.041217,0.049242,0.049242,3511774
2019-01-17,0.049469,0.063104,0.049469,0.058103,0.058103,10473230
2019-01-18,0.059113,0.066456,0.052235,0.062944,0.062944,8967225
2019-01-19,0.063497,0.073335,0.063251,0.069249,0.069249,10300895
2019-01-20,0.068865,0.070114,0.061262,0.068019,0.068019,4407828
2019-01-21,0.068216,0.072558,0.066157,0.069157,0.069157,9888851
2019-01-22,0.068994,0.107928,0.065992,0.103905,0.103905,33074631
2019-01-23,0.104890,0.104890,0.084042,0.085669,0.085669,7027299
2019-01-24,0.086003,0.086165,0.079170,0.080563,0.080563,2839466
2019-01-25,0.080313,0.083518,0.076058,0.077150,0.077150,2167065
2019-01-26,0.077084,0.078334,0.072375,0.072996,0.072996,1505266
2019-01-27,0.073047,0.073219,0.066020,0.068405,0.068405,2401757
2019-01-28,0.068368,0.068368,0.056217,0.059490,0.059490,2147431
2019-01-29,0.059692,0.064780,0.057215,0.059766,0.059766,2490158
2019-01-30,0.059878,0.059993,0.058224,0.059410,0.059410,1173718
2019-01-31,0.059428,0.060096,0.054221,0.055044,0.055044,892443
2019-02-01,0.055043,0.061340,0.052931,0.057745,0.057745,1566584
2019-02-02,0.057263,0.058469,0.055220,0.056983,0.056983,936028
2019-02-03,0.056893,0.058822,0.056048,0.056396,0.056396,1068557
2019-02-04,0.056346,0.056429,0.054930,0.055130,0.055130,823650
2019-02-05,0.054999,0.055202,0.053696,0.053886,0.053886,610118
2019-02-06,0.053982,0.054017,0.050852,0.051325,0.051325,859487
2019-02-07,0.051393,0.053210,0.051219,0.051812,0.051812,594906
2019-02-08,0.051758,0.056250,0.051421,0.055106,0.055106,959711
2019-02-09,0.055369,0.055817,0.053497,0.054550,0.054550,891573
2019-02-10,0.054593,0.055479,0.052695,0.055287,0.055287,1016308
2019-02-11,0.055186,0.055490,0.053467,0.053827,0.053827,990393
2019-02-12,0.053781,0.054004,0.053102,0.053773,0.053773,764100
2019-02-13,0.053778,0.054505,0.053050,0.053468,0.053468,906239
2019-02-14,0.053449,0.061694,0.053409,0.060041,0.060041,5123256
2019-02-15,0.059999,0.059999,0.054444,0.054983,0.054983,2049552
2019-02-16,0.055054,0.055362,0.054027,0.054831,0.054831,1007672
2019-02-17,0.054864,0.057483,0.054337,0.055768,0.055768,1126017
2019-02-18,0.056101,0.058873,0.056034,0.058174,0.058174,1695771
2019-02-19,0.058144,0.058383,0.055847,0.056560,0.056560,1642633
2019-02-20,0.056433,0.059370,0.056191,0.057912,0.057912,1524719
2019-02-21,0.058126,0.058338,0.055074,0.055455,0.055455,1211721
2019-02-22,0.055454,0.056996,0.054636,0.056935,0.056935,959682
2019-02-23,0.056915,0.058419,0.055758,0.058413,0.058413,1625135
2019-02-24,0.058422,0.059802,0.051965,0.052811,0.052811,1938463
2019-02-25,0.052579,0.053544,0.051922,0.053332,0.053332,767997
2019-02-26,0.053168,0.059339,0.052970,0.055926,0.055926,2535335
2019-02-27,0.056027,0.062077,0.055153,0.057978,0.057978,4616450
2019-02-28,0.058045,0.059942,0.056636,0.057359,0.057359,2197225
2019-03-01,0.057399,0.058510,0.056310,0.057733,0.057733,1247413
2019-03-02,0.057685,0.057872,0.056195,0.057643,0.057643,1114519
2019-03-03,0.057533,0.059931,0.057518,0.058241,0.058241,1891221
2019-03-04,0.058181,0.058695,0.053173,0.055323,0.055323,1586641
2019-03-05,0.055316,0.057144,0.054247,0.057144,0.057144,1223840
2019-03-06,0.057130,0.057254,0.056013,0.056589,0.056589,965742
2019-03-07,0.056594,0.057991,0.056504,0.057762,0.057762,1198901
2019-03-08,0.057817,0.061326,0.057455,0.057813,0.057813,2239754
2019-03-09,0.057778,0.065101,0.057641,0.065101,0.065101,4391252
2019-03-10,0.065237,0.067628,0.061489,0.067628,0.067628,3205545
2019-03-11,0.067693,0.067706,0.060834,0.062405,0.062405,2874445
2019-03-12,0.062170,0.065121,0.059735,0.064155,0.064155,2641621
2019-03-13,0.064287,0.064861,0.061968,0.062494,0.062494,1792955
2019-03-14,0.062435,0.066289,0.062342,0.065367,0.065367,2121531
2019-03-15,0.065392,0.065678,0.064665,0.065422,0.065422,1341459
2019-03-16,0.065494,0.065928,0.064038,0.065337,0.065337,1645337
2019-03-17,0.065357,0.065495,0.063602,0.063961,0.063961,888816
2019-03-18,0.063980,0.064391,0.062971,0.063370,0.063370,1126390
2019-03-19,0.063282,0.064840,0.062562,0.064495,0.064495,1163835
2019-03-20,0.064519,0.064999,0.063230,0.064903,0.064903,1503196
2019-03-21,0.064960,0.065675,0.059302,0.061527,0.061527,2038740
2019-03-22,0.061464,0.062039,0.061060,0.061520,0.061520,1032969
2019-03-23,0.061578,0.062727,0.061130,0.062366,0.062366,1030250
2019-03-24,0.062457,0.062745,0.061612,0.061739,0.061739,1473009
2019-03-25,0.061854,0.062314,0.059195,0.059665,0.059665,1799665
2019-03-26,0.059588,0.063457,0.058023,0.062008,0.062008,2937394
2019-03-27,0.062065,0.065415,0.060751,0.063124,0.063124,3320560
2019-03-28,0.063124,0.065606,0.062547,0.064195,0.064195,3360005
2019-03-29,0.064195,0.064591,0.062822,0.063936,0.063936,1957864
2019-03-30,0.063862,0.069439,0.063284,0.066893,0.066893,5078785
2019-03-31,0.066893,0.071470,0.066494,0.069983,0.069983,3645395
2019-04-01,0.069917,0.069995,0.067437,0.067836,0.067836,2477300
2019-04-02,0.067904,0.073538,0.067893,0.073143,0.073143,4486905
2019-04-03,0.073043,0.087773,0.071753,0.076928,0.076928,9490963
2019-04-04,0.076555,0.089317,0.076503,0.081312,0.081312,8276414
2019-04-05,0.081249,0.086109,0.080984,0.086109,0.086109,3575619
2019-04-06,0.086110,0.094104,0.086027,0.091632,0.091632,6814020
2019-04-07,0.091666,0.113195,0.091632,0.107296,0.107296,22920038
2019-04-08,0.107379,0.107504,0.089480,0.093134,0.093134,18203818
2019-04-09,0.093134,0.093134,0.082912,0.087102,0.087102,25364473
2019-04-10,0.087144,0.090114,0.085306,0.085681,0.085681,25483841
2019-04-11,0.085718,0.086025,0.073343,0.076097,0.076097,29771357
2019-04-12,0.076033,0.080469,0.072716,0.078106,0.078106,30886047
2019-04-13,0.078226,0.080625,0.073862,0.075409,0.075409,27213191
2019-04-14,0.075409,0.077245,0.074073,0.076367,0.076367,27770512
2019-04-15,0.076367,0.076942,0.070921,0.071921,0.071921,20047133
2019-04-16,0.071938,0.076779,0.070557,0.073891,0.073891,20373289
2019-04-17,0.073975,0.074648,0.071543,0.071937,0.071937,20962660
2019-04-18,0.071932,0.076205,0.071384,0.073996,0.073996,21031814
2019-04-19,0.073970,0.078721,0.071970,0.076099,0.076099,21377192
2019-04-20,0.076099,0.076315,0.073206,0.074280,0.074280,17978822
2019-04-21,0.074267,0.074674,0.065887,0.068242,0.068242,17061511
2019-04-22,0.068028,0.069217,0.065807,0.067036,0.067036,15094051
2019-04-23,0.067044,0.068005,0.062899,0.063292,0.063292,13938070
2019-04-24,0.063292,0.063623,0.057626,0.059002,0.059002,13371281
2019-04-25,0.059000,0.063985,0.056799,0.058710,0.058710,12800993
2019-04-26,0.058764,0.060446,0.055273,0.057362,0.057362,12032348
2019-04-27,0.057232,0.061196,0.056391,0.059268,0.059268,12797808
2019-04-28,0.059173,0.062212,0.058634,0.059123,0.059123,12083811
2019-04-29,0.059144,0.061227,0.056566,0.057087,0.057087,11826314
2019-04-30,0.057056,0.060163,0.055953,0.059665,0.059665,12082517
2019-05-01,0.059543,0.060522,0.057681,0.059293,0.059293,11654794
2019-05-02,0.059344,0.060631,0.058339,0.059921,0.059921,12255888
2019-05-03,0.059921,0.060649,0.058189,0.059727,0.059727,12849140
2019-05-04,0.059727,0.061784,0.055461,0.058251,0.058251,12435910
2019-05-05,0.058377,0.058517,0.055292,0.055993,0.055993,11403003
2019-05-06,0.056144,0.063079,0.054817,0.059658,0.059658,14015486
2019-05-07,0.059671,0.062342,0.056679,0.056679,0.056679,11587980
2019-05-08,0.056947,0.058583,0.055456,0.058275,0.058275,8102694
2019-05-09,0.058275,0.058845,0.053272,0.053272,0.053272,6546872
2019-05-10,0.053282,0.056108,0.052190,0.055236,0.055236,8352548
2019-05-11,0.055236,0.059497,0.054682,0.058432,0.058432,9696093
2019-05-12,0.058315,0.061553,0.054686,0.055291,0.055291,9257592
2019-05-13,0.055291,0.060096,0.054848,0.056007,0.056007,9009919
2019-05-14,0.055936,0.060075,0.055396,0.059740,0.059740,9503999
2019-05-15,0.059786,0.070123,0.059662,0.069993,0.069993,12285802
2019-05-16,0.070032,0.076151,0.061389,0.064324,0.064324,12089712
2019-05-17,0.064321,0.064936,0.055928,0.058681,0.058681,9930586
2019-05-18,0.058681,0.063215,0.058383,0.060180,0.060180,10439322
2019-05-19,0.060147,0.064330,0.060005,0.063868,0.063868,9974983
2019-05-20,0.064188,0.064224,0.059204,0.063955,0.063955,10464351
