Date,Open,High,Low,Close,Adj Close,Volume
2022-01-06,0.000005,0.000011,0.000003,0.000008,0.000008,52113
2022-01-07,0.000008,0.000010,0.000004,0.000005,0.000005,13997
2022-01-08,0.000005,0.000005,0.000004,0.000005,0.000005,3652
2022-01-09,0.000005,0.000005,0.000002,0.000003,0.000003,3181
2022-01-10,0.000003,0.000003,0.000002,0.000003,0.000003,1812
2022-01-11,0.000003,0.000004,0.000003,0.000003,0.000003,1072
2022-01-12,0.000003,0.000004,0.000002,0.000003,0.000003,2538
2022-01-13,0.000003,0.000003,0.000002,0.000002,0.000002,1636
2022-01-14,0.000002,0.000004,0.000002,0.000003,0.000003,3374
2022-01-15,0.000003,0.000003,0.000002,0.000002,0.000002,2462
2022-01-16,0.000002,0.000020,0.000002,0.000002,0.000002,12782
2022-01-17,0.000002,0.000003,0.000002,0.000002,0.000002,1854
2022-01-18,0.000002,0.000002,0.000002,0.000002,0.000002,722
2022-01-19,0.000002,0.000002,0.000002,0.000002,0.000002,683
2022-01-20,0.000002,0.000002,0.000002,0.000002,0.000002,881
2022-01-21,0.000002,0.000002,0.000001,0.000001,0.000001,1367
2022-01-22,0.000001,0.000001,0.000001,0.000001,0.000001,137
2022-01-23,0.000001,0.000007,0.000001,0.000002,0.000002,4132
2022-01-24,0.000002,0.000002,0.000002,0.000002,0.000002,126
2022-01-25,0.000002,0.000002,0.000002,0.000002,0.000002,22
2022-01-26,0.000002,0.000002,0.000001,0.000002,0.000002,292
2022-01-27,0.000002,0.000002,0.000002,0.000002,0.000002,4
2022-01-28,0.000002,0.000002,0.000001,0.000002,0.000002,671
2022-01-29,0.000002,0.000002,0.000002,0.000002,0.000002,131
2022-01-30,0.000002,0.000002,0.000001,0.000001,0.000001,212
2022-01-31,0.000001,0.000001,0.000001,0.000001,0.000001,27
2022-02-01,0.000001,0.000002,0.000001,0.000002,0.000002,1205
2022-02-02,0.000002,0.000003,0.000001,0.000002,0.000002,1580
2022-02-03,0.000002,0.000066,0.000002,0.000007,0.000007,18922
