Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,0.263722,0.275954,0.261286,0.274507,0.274507,1194184
2019-01-02,0.275482,0.286088,0.270960,0.281431,0.281431,1576162
2019-01-03,0.282649,0.285343,0.272373,0.273047,0.273047,1207131
2019-01-04,0.273049,0.285629,0.270244,0.284758,0.284758,1389834
2019-01-05,0.285117,0.287090,0.278025,0.278949,0.278949,929665
2019-01-06,0.278279,0.302028,0.277429,0.298788,0.298788,1108061
2019-01-07,0.299014,0.303223,0.290448,0.291146,0.291146,1110953
2019-01-08,0.291693,0.298940,0.284640,0.289610,0.289610,1233490
2019-01-09,0.290175,0.293845,0.286707,0.287798,0.287798,1077998
2019-01-10,0.288086,0.290446,0.240125,0.245243,0.245243,804092
2019-01-11,0.244278,0.253503,0.240338,0.253503,0.253503,386818
2019-01-12,0.252406,0.260454,0.243170,0.252907,0.252907,600836
2019-01-13,0.252414,0.256542,0.232427,0.236239,0.236239,1120482
2019-01-14,0.236190,0.257771,0.235735,0.252249,0.252249,1218594
2019-01-15,0.252365,0.278217,0.250277,0.256632,0.256632,1976721
2019-01-16,0.254950,0.274749,0.254885,0.266387,0.266387,1467988
2019-01-17,0.267459,0.411293,0.265555,0.316411,0.316411,15460210
2019-01-18,0.317855,0.332184,0.288946,0.296117,0.296117,4803688
2019-01-19,0.297238,0.309672,0.289570,0.295234,0.295234,2309668
2019-01-20,0.294112,0.316251,0.277606,0.297666,0.297666,4028656
2019-01-21,0.297886,0.313310,0.288272,0.293764,0.293764,2230569
2019-01-22,0.293459,0.295639,0.275449,0.290363,0.290363,1227411
2019-01-23,0.289691,0.310343,0.281501,0.289707,0.289707,2094550
2019-01-24,0.289599,0.295596,0.282543,0.286889,0.286889,1515265
2019-01-25,0.287471,0.289620,0.278444,0.282018,0.282018,1077164
2019-01-26,0.282155,0.300162,0.281040,0.289108,0.289108,1174341
2019-01-27,0.289322,0.291046,0.276552,0.286304,0.286304,1470470
2019-01-28,0.286480,0.287955,0.248748,0.261178,0.261178,1585075
2019-01-29,0.261708,0.268621,0.246126,0.256809,0.256809,1348692
2019-01-30,0.256922,0.283251,0.256164,0.278693,0.278693,2040351
2019-01-31,0.278605,0.305064,0.265150,0.268184,0.268184,2746816
2019-02-01,0.268114,0.270628,0.253283,0.266735,0.266735,1630944
2019-02-02,0.266845,0.275447,0.261785,0.271734,0.271734,1823043
2019-02-03,0.272185,0.272673,0.264211,0.265983,0.265983,1351516
2019-02-04,0.266906,0.270103,0.262765,0.264678,0.264678,1164193
2019-02-05,0.263995,0.264486,0.256604,0.258207,0.258207,1170733
2019-02-06,0.259010,0.259010,0.245381,0.249279,0.249279,1211632
2019-02-07,0.250117,0.257455,0.247788,0.251899,0.251899,1272164
2019-02-08,0.251731,0.282782,0.250780,0.279912,0.279912,1620193
2019-02-09,0.280628,0.283532,0.272525,0.278070,0.278070,1322292
2019-02-10,0.278314,0.292661,0.272213,0.292661,0.292661,1411948
2019-02-11,0.293698,0.301696,0.283283,0.292081,0.292081,1806887
2019-02-12,0.291707,0.291707,0.272597,0.278185,0.278185,1454755
2019-02-13,0.278591,0.286867,0.277929,0.279802,0.279802,1123253
2019-02-14,0.279218,0.280121,0.270036,0.272257,0.272257,1019735
2019-02-15,0.270799,0.281817,0.270187,0.271209,0.271209,947725
2019-02-16,0.272021,0.276111,0.265728,0.270099,0.270099,954553
2019-02-17,0.269611,0.291611,0.267750,0.283204,0.283204,1224620
2019-02-18,0.282027,0.325570,0.279603,0.302293,0.302293,3570509
2019-02-19,0.302300,0.307309,0.295219,0.298700,0.298700,2077157
2019-02-20,0.297935,0.309517,0.293770,0.304976,0.304976,1617770
2019-02-21,0.304904,0.308014,0.292344,0.299117,0.299117,983393
2019-02-22,0.299273,0.313221,0.295569,0.306580,0.306580,1498601
2019-02-23,0.305312,0.316346,0.301000,0.312337,0.312337,1742374
2019-02-24,0.312788,0.315617,0.270326,0.276915,0.276915,1640489
2019-02-25,0.278576,0.295821,0.277531,0.291874,0.291874,1806822
2019-02-26,0.291485,0.313655,0.289547,0.305883,0.305883,2799640
2019-02-27,0.305499,0.311164,0.285987,0.295075,0.295075,1840826
2019-02-28,0.295255,0.300194,0.286697,0.295202,0.295202,1538641
2019-03-01,0.293512,0.305173,0.290037,0.299424,0.299424,1416641
2019-03-02,0.299438,0.301419,0.288918,0.295579,0.295579,1170092
2019-03-03,0.295431,0.310637,0.294421,0.297877,0.297877,1549020
2019-03-04,0.297410,0.305917,0.277616,0.285745,0.285745,1475223
2019-03-05,0.286436,0.325262,0.285628,0.318629,0.318629,3058015
2019-03-06,0.320002,0.330652,0.309000,0.330652,0.330652,1737552
2019-03-07,0.328269,0.333393,0.313666,0.318865,0.318865,1829212
2019-03-08,0.319386,0.332094,0.311419,0.313072,0.313072,2105267
2019-03-09,0.312893,0.330751,0.306885,0.318097,0.318097,2314088
2019-03-10,0.319904,0.384685,0.316782,0.362881,0.362881,4472214
2019-03-11,0.362284,0.414891,0.323166,0.344974,0.344974,8011668
2019-03-12,0.337432,0.412058,0.318350,0.348454,0.348454,7335740
2019-03-13,0.348259,0.418972,0.346633,0.398532,0.398532,6885370
2019-03-14,0.398391,0.517126,0.387519,0.447808,0.447808,20221073
2019-03-15,0.458314,0.493789,0.434143,0.434478,0.434478,7865345
2019-03-16,0.438135,0.490744,0.421794,0.462308,0.462308,6163211
2019-03-17,0.471572,0.471572,0.434265,0.434265,0.434265,3799121
2019-03-18,0.435042,0.443008,0.422394,0.425739,0.425739,2393858
2019-03-19,0.427259,0.440506,0.421998,0.434378,0.434378,2299056
2019-03-20,0.434435,0.449375,0.427574,0.427574,0.427574,2795887
2019-03-21,0.428756,0.433224,0.384798,0.406915,0.406915,3428692
2019-03-22,0.404691,0.414939,0.402023,0.406096,0.406096,2468816
2019-03-23,0.405831,0.411393,0.398467,0.403863,0.403863,2037763
2019-03-24,0.402063,0.428066,0.391793,0.410707,0.410707,3573145
2019-03-25,0.411246,0.450147,0.390035,0.401180,0.401180,7104433
2019-03-26,0.400248,0.465044,0.398948,0.446856,0.446856,8910586
2019-03-27,0.444864,0.539413,0.442872,0.474024,0.474024,12168205
2019-03-28,0.473536,0.497867,0.454520,0.467973,0.467973,3546362
2019-03-29,0.467973,0.483610,0.451560,0.461953,0.461953,2800370
2019-03-30,0.461367,0.488494,0.447521,0.464819,0.464819,1653745
2019-03-31,0.464819,0.540059,0.461043,0.510738,0.510738,6523092
2019-04-01,0.511092,0.512619,0.479019,0.491427,0.491427,3875711
2019-04-02,0.492020,0.523586,0.459663,0.496133,0.496133,4163458
2019-04-03,0.497695,0.538259,0.463641,0.481896,0.481896,3188989
2019-04-04,0.481720,0.496205,0.463018,0.476525,0.476525,2795503
2019-04-05,0.476421,0.526147,0.476421,0.495503,0.495503,2758991
2019-04-06,0.495943,0.524330,0.477584,0.491106,0.491106,2678378
2019-04-07,0.491016,0.502636,0.485850,0.492623,0.492623,1970210
2019-04-08,0.492708,0.508429,0.474711,0.481683,0.481683,2483239
